"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,63250.7983592078,582416.14368001,568.815988856207,6.7043112743666,0.005
1,200,1166.96321736933,222489.087713736,207.424675289759,4.900300274615,0.005
2,300,-2.77609329933107,38841.794077923,34.6536682505688,2.29227562205248,0.005
3,400,-3.73616395502065,2807.10677843738,2.39078667192774,0.604113769508613,0.005
4,500,-3.7868515670603,303.032826894134,0.247763157258556,0.210487250578149,0.005
5,600,-4.23214677630609,36.7355992044117,0.0306189665247621,0.108523042885692,0.005
6,700,-4.51919007498248,-2.99473410053024,0,0.0873311083386522,0.005
7,800,-5.88195345864886,13.4745849692857,0.0122063812025673,0.103870159041935,0.005
8,900,-6.24208335106414,49.0851303952365,0.0373550482865669,0.127935335715232,0.005
9,1000,-6.93319357828132,119.001074415661,0.0846259379071061,0.145015865126767,0.005
10,1100,-6.9383168323984,565.745544130068,0.377851156506065,0.151513683981418,0.005
11,1200,-6.90135115646568,777.58377578912,0.500575917387537,0.126838434189437,0.005
12,1300,-6.93301785298114,553.429520336428,0.347558503881084,0.118980624157554,0.005
13,1400,-6.92987066778729,439.577826442126,0.26846141892492,0.114947025813755,0.005
14,1500,-6.96391551254197,402.693702714765,0.23909429885436,0.100404350104917,0.005
15,1600,-6.98383593785295,746.304090797031,0.427159178303985,0.100405734292339,0.005
16,1700,-7.12798021874833,491.241172106572,0.275255882266453,0.0855340679405411,0.005
17,1800,-7.1745363692415,301.166112782686,0.165604869777218,0.0844051369586889,0.005
18,1900,-7.24512950737935,436.437730215332,0.232792886300212,0.0745849194829552,0.005
19,2000,-7.37846202946344,551.130727607629,0.285775726133516,0.0822347375255232,0.005
20,2100,-7.55070473386838,437.060378591602,0.2215522524404,0.0820296419091392,0.005
21,2200,-7.73015633667878,403.81727759855,0.199728189304557,0.0862976799387553,0.005
22,2300,-7.94025402557673,575.016137215287,0.276404685417921,0.0949362895556834,0.005
23,2400,-7.99260229971397,335.080086820615,0.159497561526976,0.0760173227111853,0.005
24,2500,-7.99905154248719,414.078723555263,0.191774210752114,0.0743547344270888,0.005
25,2600,-7.98231479120166,347.892555479059,0.157991568824042,0.0721653199430767,0.005
26,2700,-7.98519392764419,324.288480160945,0.144378541617287,0.0680409489127777,0.005
27,2800,-7.9999874403147,284.876414621818,0.124924631323985,0.0589320173380255,0.005
28,2900,-7.99729776583462,377.062223016704,0.160785937449933,0.0589123877486973,0.005
29,3000,-7.99856451982481,254.226274384741,0.107052945617701,0.0421409958924494,0.005
30,3100,-7.99871093864822,389.08837177576,0.158967808132414,0.0579311292949074,0.005
31,3200,-7.99636194605328,226.799659274896,0.0923533620996358,0.0420600530046495,0.005
32,3300,-7.99800568368284,260.306890273387,0.103535076926635,0.0422279657171121,0.005
33,3400,-7.99820540554616,224.830379756742,0.0881710599768871,0.0416881040031435,0.005
34,3500,-7.99903222395851,252.643360608979,0.0969158423496774,0.0365019281954034,0.005
35,3600,-7.99540354288306,390.957200793897,0.145698248127424,0.0443230953931905,0.005
36,3700,-7.99978895535578,243.620898730521,0.0903400508204614,0.0379894573215282,0.005
37,3800,-7.99893485685558,269.409677308831,0.0978741164025632,0.0413469862743217,0.005
38,3900,-7.99987705220422,293.330790062093,0.104472959166261,0.0361433405003322,0.005
39,4000,-7.99920239813276,320.151402071769,0.11194381722808,0.0318343778069195,0.005
40,4100,-7.99994390827963,216.262697708408,0.0750932356631789,0.0372313878407914,0.005
41,4200,-7.99975693498506,123.252356910878,0.0432216354395443,0.0408723600612086,0.005
42,4300,-7.99995258450418,224.508543199448,0.0755231502460662,0.0359151527341642,0.005
43,4400,-7.9988950117913,201.333058503673,0.0668793467470824,0.0213142015454619,0.005
44,4500,-7.99988634200508,227.94066760013,0.0742331898785033,0.024181484664045,0.005
45,4600,-7.9997325343017,130.601586896611,0.0428757975962325,0.0339696252931795,0.005
46,4700,-7.99985455151107,127.897669999163,0.0414384259664833,0.0237776710873898,0.005
47,4800,-7.99990940988038,181.107768052002,0.0568955680888107,0.0196183779705174,0.005
48,4900,-7.99897646523515,183.135368559874,0.0566422949309619,0.0164463373936763,0.005
49,5000,-7.99998395328948,115.885342678663,0.0361773776000384,0.0196281594131842,0.005
50,5100,-7.99979547807161,78.7082412630971,0.0249397582510184,0.0205849604410135,0.005
51,5200,-7.99981963272458,80.8857719663802,0.0252290403946628,0.0152799205775035,0.005
52,5300,-7.99997045828582,162.053423351929,0.0476566809389888,0.0161310052956882,0.005
53,5400,-7.99979288995177,147.938909668122,0.0430702730379807,0.0167713976813208,0.005
54,5500,-7.99995284830273,93.2312433773615,0.0275742301344134,0.02332642619604,0.005
55,5600,-7.99976922600533,83.9100980762377,0.0247295648519004,0.0141325539549879,0.005
56,5700,-7.99998791774922,120.352679904736,0.0341027540905429,0.0162514643848527,0.005
