"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,11430.9147132476,1925185980.29193,1883840.29307459,1218.02572373719,0.005
1,200,7710.62457245914,572059411.350387,533056.638218967,1079.092326118,0.0457090909090909
2,300,5976.02256823454,109491504.725655,97442.2737993275,949.034921122839,0.0420636363636364
3,400,6081.78039629829,30736473.2005414,26276.0925881712,749.775038613508,0.0388727272727273
4,500,6174.89438343795,33021789.2183289,26990.4792108397,530.52104701429,0.0277909090909091
5,600,6315.93344195808,49085672.3277952,38705.867585541,332.692356716603,0.0189636363636364
6,700,6319.61212118994,45997011.1560386,34912.4675780761,208.014728604829,0.00915454545454546
7,800,6476.08231691461,14195914.2395891,10348.0393792024,145.247655749279,0.005
8,900,6401.73069487311,630987.586493772,449.769427012925,100.342496685238,0.005
9,1000,6197.69109327855,7079.05534653136,3.30582662942018,72.22311768043,0.005
10,1100,6157.59491861128,3044307.06231157,2004.41231824003,49.8246166292203,0.005
11,1200,6256.85710084391,50504515.4225829,32218.0947783954,33.7982749687296,0.005
12,1300,6389.20667715408,25411183.1025137,15771.8966867647,27.2588392095177,0.005
13,1400,6486.36759403254,35203727.6538037,21250.3650866544,24.6109799252361,0.005
14,1500,6578.77968863968,41320900.1907517,24177.5205945889,24.7855243888679,0.005
15,1600,6708.93756836804,40205119.3134195,22891.4858924974,43.7505510582573,0.005
16,1700,6839.09544809639,18335249.15004,10140.3820380526,39.0882890859367,0.005
17,1800,6969.25332782475,9844284.70178009,5282.16900857865,53.9475129728337,0.005
18,1900,7099.41120755311,20018280.2788915,10493.582212144,34.9741184908348,0.005
19,2000,7229.56908728147,10965875.0894724,5603.66775370641,45.1134864962265,0.005
20,2100,7359.72696700983,14622995.4904669,7309.49313971749,25.284321577654,0.005
21,2200,7489.88484673819,21635393.8672099,10541.7416083322,44.973919382175,0.005
22,2300,7620.04272646655,9453348.74227991,4493.56259239606,39.3635364922689,0.005
23,2400,7750.20060619491,14259610.7501574,6635.16943655228,31.852472068135,0.005
24,2500,7422.08051373857,13471174.5262913,6120.99926653279,26.4343698602497,0.005
25,2600,7181.68732641441,2491757.41027117,1104.37325099394,19.4742659654368,0.005
26,2700,6243.47119555546,5926641.42245821,2565.80521461186,20.5276475069894,0.005
27,2800,6003.0592177972,53216075.6353912,22702.7102882389,26.2178450286624,0.005
28,2900,6069.44604080993,33272589.2332139,13868.2656351368,28.5811811467315,0.005
29,3000,6151.40508156638,35972982.6987874,14682.650898945,21.9129947039992,0.005
30,3100,6130.52320037184,20837243.3462176,8378.58626014998,51.235980137935,0.005
31,3200,6162.11169010112,38005678.1288565,14912.3199702164,81.9943304569108,0.005
32,3300,6045.39820937574,22670480.5093275,8738.2063279514,49.6482106486571,0.005
33,3400,6091.71420519472,37361808.7161838,14147.1729312633,45.4578183466677,0.005
34,3500,6105.57338783319,22468176.092158,8354.55875444393,54.5722437370667,0.005
35,3600,5915.76297380862,12010138.225088,4374.4387008614,41.3874522522004,0.005
36,3700,5960.11820852406,18866134.2779841,6749.69805467097,33.2208757588434,0.005
37,3800,6028.35703116319,47419515.0049274,16683.9020786272,37.9216567076877,0.005
38,3900,6096.59585380233,19352204.3340539,6705.36438399151,25.6428568388688,0.005
39,4000,6154.16667036793,33021343.4612169,11269.5678389815,24.8100119777482,0.005
40,4100,6214.41087057525,13004849.2318322,4356.7800694205,22.8205851802604,0.005
41,4200,6250.84258209649,8316929.22232641,2748.43777523879,19.5316591703969,0.005
42,4300,6318.30871454324,19157321.4724782,6205.39041389374,19.70930276975,0.005
43,4400,6333.6734086777,19017883.0301624,6070.54249643947,16.1678567226712,0.005
44,4500,6336.27385337115,23340174.055991,7346.09399260031,27.5553681398924,0.005
45,4600,6394.68760821957,24565985.3009032,7617.72933817724,50.3235131905147,0.005
46,4700,6426.02250497391,10529024.0412707,3210.45342979696,14.0451027137809,0.005
47,4800,6384.59946543315,14325053.8396091,4306.80593793009,20.8107042664902,0.005
48,4900,6395.49915678066,11756911.0399226,3483.27836451697,45.1450390076674,0.005
49,5000,6232.02065925664,11400497.2265941,3329.8962124134,27.6496476319828,0.005
50,5100,6095.6909277449,16215474.1174803,4677.51849026646,35.4372379197229,0.005
51,5200,5977.74193374647,30390110.9613761,8611.622731576,47.790742061295,0.005
52,5300,5899.87414137039,62966936.1393551,17602.7942592042,73.8026419528214,0.005
53,5400,5928.72736028894,174511525.202902,48207.0137763408,106.250442308619,0.005
54,5500,5965.25042221117,114321982.948321,31128.6789522685,100.487074738052,0.005
55,5600,6001.77348413339,156292433.952627,42023.1417315348,102.128014119273,0.005
56,5700,6038.29654605561,68424785.6965321,18138.3378674841,76.9833225686078,0.005
57,5800,6074.81960797783,126574515.873416,33115.6562624547,69.352904324755,0.005
58,5900,6111.34266990006,106764746.411318,27578.6842953522,63.0754692256518,0.005
59,6000,6147.86573182228,74351848.8545139,18995.2195961015,52.2268140721474,0.005
60,6100,6184.3887937445,56659726.0383443,14314.9058144833,37.6826519975786,0.005
61,6200,6220.91185566672,66651881.9953775,16612.6828016382,35.3603102368513,0.005
62,6300,6257.43491758895,40544704.5296357,10010.8062901921,34.6898986426312,0.005
63,6400,6293.95797951117,31270105.1049236,7599.73564421863,31.2945575139971,0.005
64,6500,6326.48596145221,52694013.9584432,12661.8084573635,31.8583227308314,0.005
