"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G10","AGDPSO",1,1,2878.4152226754,43938.0286833946,0.821997827084926,FALSE,0,1e+05,999,16.8912410736084
"G10","AGDPSO",2,2,7490.60254835796,7490.60254835796,0,TRUE,1,1e+05,999,17.5874719619751
"G10","AGDPSO",3,3,6515.02963153574,23802.2890919036,0.346084351872192,FALSE,0,1e+05,999,16.6729440689087
"G10","AGDPSO",4,4,2170.39404991617,59993.143725664,1.15758943115749,FALSE,0,1e+05,999,16.4193379878998
"G10","AGDPSO",5,5,3123.91674168828,42433.2439541708,0.786957762857251,FALSE,0,1e+05,999,16.686793088913
"G10","AGDPSO",6,6,2810.02147345645,51524.1385290528,0.975238074424864,FALSE,0,1e+05,999,16.0287041664124
"G10","AGDPSO",7,7,5327.27898305584,30210.8567273118,0.498159751441532,FALSE,0,1e+05,999,17.3571960926056
"G10","AGDPSO",8,8,6359.45248919261,24308.5996645964,0.359335091898136,FALSE,0,1e+05,999,16.9315371513367
"G10","AGDPSO",9,9,5766.96336050014,43247.1380742624,0.750338826325044,FALSE,0,1e+05,999,16.6332581043243
"G10","AGDPSO",10,10,6138.29383467438,24151.4811215258,0.360617150544563,FALSE,0,1e+05,999,15.968672990799
"G10","AGDPSO",11,11,3169.16360687881,36345.5055078453,0.664177732196883,FALSE,0,1e+05,999,16.460077047348
"G10","AGDPSO",12,12,2100.96224548088,63923.2268134176,1.2376581963912,FALSE,0,1e+05,999,15.5896289348602
"G10","AGDPSO",13,13,2485.99543116156,49582.2352692946,0.942848788575466,FALSE,0,1e+05,999,16.2349450588226
"G10","AGDPSO",14,14,2440.89773420155,49652.7991074467,0.945164288467602,FALSE,0,1e+05,999,16.4542531967163
"G10","AGDPSO",15,15,7245.18220383478,23228.9473454959,0.31998889194733,FALSE,0,1e+05,999,17.3503451347351
"G10","AGDPSO",16,16,2100.82982560286,62759.2445219513,1.21435836512479,FALSE,0,1e+05,999,17.3243069648743
"G10","AGDPSO",17,17,7689.89146604691,23358.7417978814,0.313684417365707,FALSE,0,1e+05,999,17.1574149131775
"G10","AGDPSO",18,18,2210.03700372099,61381.8405059029,1.18459697507922,FALSE,0,1e+05,999,16.1882898807526
"G10","AGDPSO",19,19,4092.17970228837,31073.6578058971,0.540158917811629,FALSE,0,1e+05,999,16.5188050270081
"G10","AGDPSO",20,20,7814.84755614022,24182.47961191,0.32767376140157,FALSE,0,1e+05,999,17.4990899562836
"G10","AGDPSO",21,21,2768.76995827978,53008.9648592239,1.00578957179925,FALSE,0,1e+05,999,18.0359139442444
"G10","AGDPSO",22,22,2629.83392953846,47150.4792479832,0.891286367008563,FALSE,0,1e+05,999,16.4571340084076
"G10","AGDPSO",23,23,4584.25572092221,27390.2182328481,0.456566685590396,FALSE,0,1e+05,999,17.0444021224976
"G10","AGDPSO",24,24,3592.67110619026,34718.9051024888,0.623135352571491,FALSE,0,1e+05,999,18.3628578186035
"G10","AGDPSO",25,25,5810.69989745367,24579.7116986768,0.375748469524596,FALSE,0,1e+05,999,16.6945390701294
"G10","AGDPSO",26,26,2502.33628099441,48334.3303841822,0.917539070352701,FALSE,0,1e+05,999,16.0680620670319
"G10","AGDPSO",27,27,3249.23046982653,43467.1655009682,0.805147745413339,FALSE,0,1e+05,999,15.9487881660461
"G10","AGDPSO",28,28,6385.08835331902,23889.4326734095,0.350430308103752,FALSE,0,1e+05,999,16.9054129123688
"G10","AGDPSO",29,29,3236.25829701838,36973.8948547603,0.675414637499588,FALSE,0,1e+05,999,16.1310048103333
"G10","AGDPSO",30,30,4529.99611600588,35742.4594582816,0.624861631244135,FALSE,0,1e+05,999,15.8195941448212
"G10","AGDPSO",31,31,4152.47309681385,33513.9820902729,0.587806229974556,FALSE,0,1e+05,999,15.913675069809
