"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G10","GA",1,1,3816.19557840456,35170.6267069045,0.627703772266821,FALSE,0,1e+05,999,5.75259804725647
"G10","GA",2,2,3954.42159642129,50615.2162911866,0.934131342611065,FALSE,0,1e+05,999,5.36741995811462
"G10","GA",3,3,4190.46709721587,47410.1775092636,0.865242145543588,FALSE,0,1e+05,999,5.41396999359131
"G10","GA",4,4,3810.38053852734,42475.7665198487,0.77406630460494,FALSE,0,1e+05,999,5.41507005691528
"G10","GA",5,5,4951.52283473358,25523.3338427844,0.41183982318774,FALSE,0,1e+05,999,5.61064600944519
"G10","GA",6,6,3955.60584730467,47394.7978348309,0.869636083111974,FALSE,0,1e+05,999,5.6381208896637
"G10","GA",7,7,6250.8118512796,16817.3204532032,0.211537478767665,FALSE,0,1e+05,999,6.07728791236877
"G10","GA",8,8,5274.33715364248,34786.7652012398,0.590827571972479,FALSE,0,1e+05,999,5.65764784812927
"G10","GA",9,9,3854.15242756557,68151.5646785823,1.28720971053666,FALSE,0,1e+05,999,5.492427110672
"G10","GA",10,10,5468.6120564534,24272.5633262747,0.37644794438192,FALSE,0,1e+05,999,5.53680992126465
"G10","GA",11,11,5437.53946265388,37744.6663411602,0.646776378420979,FALSE,0,1e+05,999,5.30263090133667
"G10","GA",12,12,3958.99155341677,51095.5162996749,0.943655277096718,FALSE,0,1e+05,999,5.3192298412323
"G10","GA",13,13,3302.20165919706,44209.9459765155,0.818957464661738,FALSE,0,1e+05,999,5.60437202453613
"G10","GA",14,14,2875.91217625499,42516.0484487716,0.793580434275922,FALSE,0,1e+05,999,5.59454107284546
"G10","GA",15,15,3615.35199775463,61231.3773161034,1.15345088823745,FALSE,0,1e+05,999,5.93992900848389
"G10","GA",16,16,3234.58508391409,62756.0643932581,1.19159735159144,FALSE,0,1e+05,999,5.81175589561462
"G10","GA",17,17,3262.69036969429,45969.8844375001,0.854981763484331,FALSE,0,1e+05,999,5.81495308876038
"G10","GA",18,18,5898.76845028606,20562.5805263973,0.293563934177719,FALSE,0,1e+05,999,5.76626300811768
"G10","GA",19,19,4809.93314145807,39485.3258346056,0.694188158258044,FALSE,0,1e+05,999,6.01399707794189
"G10","GA",20,20,3208.18838521336,41944.0119479277,0.775476438163688,FALSE,0,1e+05,999,5.8567168712616
"G10","GA",21,21,3162.06570446838,54334.3129929211,1.02444890569664,FALSE,0,1e+05,999,5.89640307426453
"G10","GA",22,22,3468.62747957117,33579.9244730478,0.602816700235764,FALSE,0,1e+05,999,5.85538387298584
"G10","GA",23,23,4223.07033655924,49248.0728362377,0.901383405731187,FALSE,0,1e+05,999,5.77546191215515
"G10","GA",24,24,3549.62807986147,42243.3976102859,0.774634532450289,FALSE,0,1e+05,999,5.81145191192627
"G10","GA",25,25,4219.4924511479,28518.037286298,0.48644761536606,FALSE,0,1e+05,999,5.87058091163635
"G10","GA",26,26,3999.91410206316,53012.6169459399,0.981215648212783,FALSE,0,1e+05,999,5.54661011695862
"G10","GA",27,27,3557.16310733046,34334.4595815088,0.616149756244687,FALSE,0,1e+05,999,5.67398285865784
"G10","GA",28,28,4616.40651128665,51672.359430813,0.942042259805135,FALSE,0,1e+05,999,5.51748394966125
"G10","GA",29,29,4592.40570429919,31918.195594586,0.547051908676238,FALSE,0,1e+05,999,6.0890839099884
"G10","GA",30,30,3244.2180135955,41364.0120030252,0.763143760674055,FALSE,0,1e+05,999,5.49729204177856
"G10","GA",31,31,3689.1162474452,44548.1397818868,0.81798209314011,FALSE,0,1e+05,999,6.02572703361511
